fandoms,work_count
Haikyuu!!,60
原神 | Genshin Impact (Video Game),59
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,56
One Piece,51
Naruto,50
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),48
Shingeki no Kyojin | Attack on Titan,48
Hunter X Hunter,39
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),36
Chainsaw Man (Manga) | Chainsaw Man (Anime),30
Bleach,19
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),14
Fullmetal Alchemist: Brotherhood & Manga | Harry Potter - J. K. Rowling,12
Chainsaw Man (Manga),11
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),11
鬼滅の刃 | Kimetsu no Yaiba (Manga) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),11
呪術廻戦 | Jujutsu Kaisen (Anime) | 呪術廻戦 | Jujutsu Kaisen (Manga),10
Fullmetal Alchemist | Fullmetal Alchemist: Brotherhood & Manga,10
Fullmetal Alchemist: Brotherhood & Manga,7
Fullmetal Alchemist - All Media Types | Fullmetal Alchemist: Brotherhood & Manga,7
SPY x FAMILY (Manga),7
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),7
Hunter X Hunter | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,6
Naruto | 呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),5
Naruto | Hunter X Hunter,5
One Piece (Anime & Manga),5
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Naruto,5
呪術廻戦 | Jujutsu Kaisen (Anime) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Bleach (Anime & Manga) | All Around Type-Moon (Manga) | Fate/Grand Order | Fate/stay night & Related Fandoms | Fate/kaleid liner PRISMA ILLYA | ワンパンマン | One-Punch Man | One Piece (Anime & Manga) | Shingeki no Kyojin | Attack on Titan | Akame ga Kill! (Anime & Manga) | Fairy Tail | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | 異世界かるてっと | Isekai Quartet (Anime) | Overlord (MADHOUSE Anime) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | Re:ゼロから始める異世界生活 | Re:Zero Starting Life in Another World (Anime) | Fate/strange fake | Toaru Majutsu no Index | A Certain Magical Index | Multi-Fandom,5
Fullmetal Alchemist: Brotherhood & Manga | Fullmetal Alchemist - All Media Types,4
Chainsaw Man (Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Chainsaw Man (Anime),4
崩坏：星穹铁道 | Honkai: Star Rail (Video Game) | 崩坏3rd | Honkai Impact 3rd (Video Game) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 原神 | Genshin Impact (Video Game) | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Anime) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Akame ga Kill! (Anime & Manga) | Arcane: League of Legends (Cartoon 2021) | Bleach (Anime & Manga) | Naruto (Anime & Manga) | Hunter X Hunter | Multi-Fandom | Zenless Zone Zero (Video Game) | Overlord (MADHOUSE Anime) | ダンジョン飯 | Dungeon Meshi | Delicious in Dungeon | グラップラー刃牙 | Baki the Grappler | ワンパンマン | One-Punch Man | Chainsaw Man (Anime) | Fate/stay night & Related Fandoms | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | Shingeki no Kyojin | Attack on Titan | ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure | Marvel Cinematic Universe,4
SPY x FAMILY (Anime) | SPY x FAMILY (Manga),3
Naruto | Marvel Cinematic Universe | Harry Potter - J. K. Rowling | Game of Thrones (TV) | RWBY | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Stray Kids (Band) | K-pop | Shingeki no Kyojin | Attack on Titan | Fullmetal Alchemist - All Media Types | Supernatural (TV 2005) | Percy Jackson and the Olympians & Related Fandoms - All Media Types | Stargate SG-1 | Criminal Minds (US TV) | 呪術廻戦 | Jujutsu Kaisen (Manga) | Hunter X Hunter | Avatar: The Last Airbender | 더 게이머 | The Gamer (Webcomic) | 文豪ストレイドッグス | Bungou Stray Dogs | Star Trek: Alternate Original Series (Movies) | X-Men - All Media Types | Twilight Series - All Media Types | The Legend of Zelda: Breath of the Wild/Tears of the Kingdom | The Walking Dead (TV) | DCU | Batman - All Media Types | The Hobbit - J. R. R. Tolkien,3
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 呪術廻戦 | Jujutsu Kaisen (Anime),3
Yuri!!! on Ice (Anime) | Fullmetal Alchemist: Brotherhood & Manga,3
Chainsaw Man (Manga) | Chainsaw Man (Anime) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),3
Dangan Ronpa - All Media Types | Dangan Ronpa: Trigger Happy Havoc | Dangan Ronpa Another Episode: Ultra Despair Girls | New Dangan Ronpa V3: Everyone's New Semester of Killing | Persona 5 | Persona Series | Persona 4 | Persona 3 | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | SPY x FAMILY (Manga) | SPY x FAMILY (Anime) | Fate/Grand Order | Fate/stay night & Related Fandoms | Fate/EXTRA | Chainsaw Man (Manga) | Chainsaw Man (Anime) | Gravity Falls | Naruto (Anime & Manga) | 魔法少女にあこがれて | Mahou Shoujo ni Akogarete | I admire magical girls and... (Manga) | Parahumans Series - Wildbow | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica | お兄ちゃんはおしまい! | Oniichan wa Oshimai! (Manga) | お兄ちゃんはおしまい! | Oniichan wa Oshimai! (Anime) | RWBY | 見える子ちゃん | Mieruko-chan (Manga) | 見える子ちゃん | Mieruko-chan (Anime) | 蜘蛛ですが なにか? | Kumo desu ga Nani ka | So I'm a Spider So What? - Okina Baba | Soul Eater (Anime & Manga) | Harry Potter - J. K. Rowling | Bleach (Anime & Manga) | Arcane: League of Legends (Cartoon 2021) | League of Legends | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | One Piece (Anime & Manga) | Highschool DxD (Anime),3
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,3
Naruto | Shingeki no Kyojin | Attack on Titan,3
Fullmetal Alchemist - All Media Types | Fullmetal Alchemist: Brotherhood & Manga | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),3
Chainsaw Man (Manga) | Fate/Grand Order | Fate/stay night & Related Fandoms | Goblin Slayer (Anime) | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | 蜘蛛ですが なにか? | Kumo desu ga Nani ka | So I'm a Spider So What? - Okina Baba | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types | ワンパンマン | One-Punch Man | Record of Ragnarok (Manga) | 盾の勇者の成り上がり | Tate no Yuusha no Nariagari | The Rising of the Shield Hero (Anime) | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | ゲート 自衛隊彼の地にて斯く戦えり - 竿尾悟 | Gate: Jietai Kanochi nite Kaku Tatakaeri - Sao Satoru (Manga) | Re:CREATORS (Anime) | 陰の実力者になりたくて！ | The Eminence in Shadow - Aizawa Daisuke (Light Novels) | Bocchi the Rock! (Anime) | Bayonetta (Video Games) | 乙女ゲー世界はモブに厳しい世界です - 三嶋与夢 | The World of Otome Games is Tough For Mobs - Mishima Yomu | Hololive (Virtual Streamers) | 原神 | Genshin Impact (Video Game) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Kill la Kill (Anime & Manga) | Mortal Kombat (Video Games) | DCU (Comics) | Biohazard | Resident Evil (Gameverse) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | 古見さんはコミュ症です。 | Komi-san wa Komyushou Desu | Miss Komi Can't Communicate (Anime) | God of War (Video Games) | Avatar: The Last Airbender | 崩坏：星穹铁道 | Honkai: Star Rail (Video Game) | 機動戦士ガンダム 水星の魔女 | Mobile Suit Gundam: The Witch from Mercury (Anime) | SPY x FAMILY (Anime) | お兄ちゃんはおしまい! | Oniichan wa Oshimai! (Manga) | Dark Gathering (Manga) | 復讐を希う最強勇者は 闇の力で殲滅無双する | Fukushuu o Koinegau Saikyou Yuusha wa Yami no Chikara de Senmetsu... (Manga) | Naruto | 魔法少女にあこがれて | Mahou Shoujo ni Akogarete | I admire magical girls and... (Manga) | トモちゃんは女の子! | Tomo-chan wa Onnanoko! | Tomo-chan is a Girl! (Anime) | Fairy Tail | Akame ga Kill! (Anime & Manga) | よふかしのうた | Yofukashi no Uta | Call of the Night (Manga) | ありふれた職業で世界最強 | Arifureta: From Commonplace to World's Strongest (Anime) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Bleach (Anime & Manga) | 痛いのは嫌なので防御力に極振りしたいと思います。| BOFURI: I Don't Want to Get Hurt so I'll Max Out My Defense. (Anime) | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Manga) | ようこそ実力至上主義の教室へ | Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e | Classroom of the Elite (Anime) | ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure | The Amazing World of Gumball | Undertale (Video Game) | Spider-Man: Spider-Verse (Sony Animated Movies) | Grim Adventures of Billy & Mandy | Gravity Falls | League of Legends | Godzilla - All Media Types | 異世界かるてっと | Isekai Quartet (Anime) | 月が導く異世界道中 | Tsuki ga Michibiku Isekai Douchuu (Manga) | ゾン100～ゾンビになるまでにしたい100のこと～ | Zom 100: Zombie ni Naru made ni Shitai 100 no Koto (Anime) | 魔都精兵のスレイブ | Mato Seihei no Slave (Manga) | 悪役令嬢レベル99 | Akuyaku Reijou Level 99 | Villainess Level 99 (Anime) | Crawling Dreams (Webcomic) | 聖母の断罪 | Maria no Danzai (Manga),3
Fullmetal Alchemist - All Media Types | Fullmetal Alchemist (Anime 2003) | Fullmetal Alchemist: Brotherhood & Manga,3
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),3
Harry Potter - Fandom | One Piece | Sailor Moon | Ben 10 | Katekyou Hitman Reborn! | Supernatural | 天地無用! | Tenchi Muyo! | Pirates of the Caribbean (Movies) | Steven Universe - Fandom | Dragon Ball | Doctor Who | Berserk | Bleach | Sword Art Online | Once Upon A Time - Fandom | Tenchi Muyo GXP | 艦隊これくしょん | Kantai Collection | Bravely Default (Video Game) & Related Fandoms | RWBY | Fairy Tail | Batman: The Animated Series | Teen Titans (Comics) | Teen Titans - All Media Types | 文豪ストレイドッグス | Bungou Stray Dogs | Star vs. the Forces of Evil | Frozen (2013) | Gargoyles (TV) | X-Men Evolution | X-Men - All Media Types | X-Men (Movieverse) | X-Men (Comicverse) | The Sandman (Comics) | Fate/stay night & Related Fandoms | Beauty and the Beast (2017) | Beauty and the Beast (1991) | My Little Pony: Friendship is Magic | My Little Pony: Equestria Girls | Silent Hill (Video Game Series) | Super Mario & Related Fandoms | God of War (Video Games) | Soul Eater | The Little Mermaid (1989) | ワンパンマン | One-Punch Man | Tales of Phantasia | Girl Genius (Webcomic) | Red vs. Blue | Metal Gear Solid | Overlord - Maruyama Kugane & Related Fandoms | うる星やつら | Urusei Yatsura | Teenage Mutant Ninja Turtles - All Media Types | Fantastic Beasts and Where to Find Them (Movies) | The Legend of Zelda & Related Fandoms | The Legend of Zelda: Breath of the Wild | Slayers (Anime & Manga) | Fullmetal Alchemist: Brotherhood & Manga | Fullmetal Alchemist (Anime 2003) | 幽☆遊☆白書 | YuYu Hakusho: Ghost Files | Hellsing | Avengers (Comics) | The Avengers (Marvel Movies) | Avengers: Earth's Mightiest Heroes | Thor (Movies) | Thor (Comics) | Hetalia: Axis Powers | Labyrinth (1986) | Bendy and the Ink Machine | Code Geass | Sekirei (Anime & Manga) | Isekai Shokudō - Restaurant To Another World | Inhumans (Comics) | Inhumans (TV 2017) | Garden of Avalon | Warhammer 40k (Novels) - Various Authors | Warhammer - All Media Types | Saints Row | Final Fantasy VII | Hitchhiker's Guide to the Galaxy (2005) | Hitchhiker's Guide to the Galaxy - Douglas Adams | Deadpool - All Media Types | Deadpool (Comics) | Percy Jackson and the Olympians & Related Fandoms - All Media Types | The Seventh Carrier Series - Peter Albano | InuYasha - A Feudal Fairy Tale | slenderman - Fandom | Creepypasta - Fandom | Kuroshitsuji | Black Butler | Senjou no Valkyria | Valkyria Chronicles | Duke Nukem (Video Game) | Prototype (Video Games) | Bones (TV) | Animaniacs | Hotel Transylvania (Movies) | Aladdin (1992) | Aladdin: The Animated Series | High School DxD | Avatar: The Last Airbender | Godzilla (2014) | Godzilla - All Media Types | Gojira | Godzilla (1954) | モスラ | Mosura | Mothra (1961) | Final Fantasy IV | Dirge of Cerberus: Final Fantasy VII | Before Crisis: Final Fantasy VII | Undertale (Video Game) | The Librarians (TV 2014) | The Librarian (Movies) | Neon Genesis Evangelion | Biohazard | Resident Evil (Gameverse) | Resident Evil - All Media Types | Resident Evil (Movieverse) | Darkstalkers (Video Games) | Street Fighter | Naruto | Pocket Monsters | Pokemon - All Media Types | Pocket Monsters | Pokemon (Main Video Game Series) | Pocket Monsters | Pokemon (Anime) | Death Note & Related Fandoms | Death Note (Anime & Manga) | ゲート 自衛隊彼の地にて斯く戦えり - 竿尾悟 | Gate: Jietai Kanochi nite Kaku Tatakaeri - Sao Satoru (Manga) | Cthulhu Mythos - H. P. Lovecraft | Lucifer (TV) | Friday the 13th Series (Movies) | A Nightmare on Elm Street (Movies 1984-1994) | A Nightmare on Elm Street - All Media Types | Annabelle (2014) | Tom and Jerry (MGM/Hanna-Barbera) | Game of Thrones (TV) | Final Fantasy X | Final Fantasy X-2 | Homestuck | Code Name: Sailor V | Transformers Generation One | Transformers - All Media Types | Devil May Cry | She-Ra: Princess Of Power | Five Nights at Freddy's | Doki Doki Literature Club! (Visual Novel) | Bionicle - All Media Types | Elfen Lied | Super Paper Mario (Game) | Agents of S.H.I.E.L.D. (TV) | Fallout: New Vegas | Fallout (Video Games) | G.I. Joe (Cartoon) | G.I. Joe - All Media Types | G.I. Joe (Marvel Comics) | G.I. Joe (IDW Comics) | Magi: The Labyrinth of Magic | Valdemar Series - Mercedes Lackey | Species (1995) | Species II (1998) | SEAL Team (TV) | Kingsman (Movies) | 悪魔城ドラキュラ | Castlevania Series | Castlevania (Cartoon) | D.Gray-man | Wynonna Earp (TV) | Slime Rancher (Video Game) | Fate/Apocrypha | Fate/Grand Order | Fate/Zero | Hollow Knight (Video Game) | Split (2016) | Tsubasa: Reservoir Chronicle | xxxHoLic | Cuphead (Video Game) | Queen's Blade | Koisuru Asteroid Science Club | Mahou Shoujo Lyrical Nanoha | Magical Girl Lyrical Nanoha | Miraculous Ladybug | 盾の勇者の成り上がり - アネコユサギ | Tate no Yuusha no Nariagari | The Rising of the Shield Hero - Aneko Yusagi | Freakazoid (Cartoon) | 賢者の孫 | Kenja no Mago | Wise Man's Grandchild (Anime),2
Bleach (Anime & Manga),2
原神 | Genshin Impact (Video Game) | Ensemble Stars! (Video Game) | One Piece | Chainsaw Man (Manga) | Twisted-Wonderland (Video Game) | 文豪ストレイドッグス | Bungou Stray Dogs | Record of Ragnarok (Manga) | 崩坏：星穹铁道 | Honkai: Star Rail (Video Game) | Shall We Date?: Obey Me! (Video Game) | Hunter X Hunter | 鸣潮 | Wuthering Waves (Video Game) | Haikyuu!!,2
Naruto | Bleach,2
Bleach | Harry Potter - J. K. Rowling,2
原神 | Genshin Impact (Video Game) | Fullmetal Alchemist: Brotherhood & Manga,2
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | Street Fighter | ワンパンマン | One-Punch Man | Fairy Tail | Batman - All Media Types | Dragon Ball | Naruto (Anime & Manga) | Highschool DxD (Anime) | 対魔忍アサギ | Taimanin Asagi (Anime) | Action Taimanin (Video Game) | 対魔忍ユキカゼ | Taimanin Yukikaze (Anime) | Fate/Grand Order | Darkstalkers (Video Games) | King of Fighters | オーバーロード - 丸山くがね | Overlord - Maruyama Kugane | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Fatal Fury | Bleach (Anime & Manga) | Marvel | Spider-Man - All Media Types | Spider-Man (Comicverse) | One Piece (Anime & Manga) | Overwatch (Video Game),2
Cowboy Bebop (Anime) | Avatar: The Last Airbender | Avatar: Legend of Korra | Ouran High School Host Club - All Media Types | Death Note (Anime & Manga) | Kuroshitsuji | Black Butler | Hetalia: Axis Powers | Fullmetal Alchemist - All Media Types | Ao no Exorcist | Blue Exorcist | Hunter X Hunter | Kuroko no Basuke | Kuroko's Basketball | Shingeki no Kyojin | Attack on Titan | Dangan Ronpa - All Media Types | Free! | Kill la Kill (Anime & Manga) | Haikyuu!! | Assassination Classroom | 食戟のソーマ | Food Wars! Shokugeki no Soma | ワンパンマン | One-Punch Man | 僕だけがいない街 | Boku dake ga Inai Machi | ERASED (Anime & Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | モブサイコ100 | Mob Psycho 100 | Yuri!!! on Ice (Anime) | 私がモテてどうすんだ | Watashi ga Motete Dousunda | Kiss Him Not Me | 斉木楠雄のΨ難 | Saiki Kusuo no Sai-nan | The Disastrous Life of Saiki K. | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | 王室教師ハイネ | Oushitsu Kyoushi Haine | The Royal Tutor (Anime) | 賭ケグルイ | Kakegurui (Anime & Manga) | はたらく細胞 | Hataraku Saibou | Cells at Work! (Anime) | 約束のネバーランド | Yakusoku no Neverland | The Promised Neverland (Anime) | かぐや様は告らせたい | Kaguya-sama wa Kokurasetai | Kaguya-sama: Love Is War (Anime) | Fruits Basket (Anime 2019) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Multi-Fandom,2
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 鬼滅の刃 | Kimetsu no Yaiba (Manga) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),2
鬼滅の刃 | Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),2
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Chainsaw Man (Manga) | Chainsaw Man (Anime),2
Batman - All Media Types | Shingeki no Kyojin | Attack on Titan,2
