fandoms,work_count
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Haikyuu!! | Kuroko no Basuke | Kuroko's Basketball | Shingeki no Kyojin | Attack on Titan | 食戟のソーマ | Food Wars! Shokugeki no Soma | Tokyo Ghoul | Black Clover - Tabata Yuki (Anime & Manga) | 文豪ストレイドッグス | Bungou Stray Dogs | 呪術廻戦 | Jujutsu Kaisen (Anime) | 斉木楠雄のΨ難 | Saiki Kusuo no Sai-nan | The Disastrous Life of Saiki K. | Free! | SK8 the Infinity (Anime) | Shall We Date?: Obey Me! | 明日方舟 | Arknights (Video Game) | ヤリチン☆ビッチ部 | Yarichin Bitch Club | 東京卍リベンジャーズ | Tokyo Revengers (Anime) | 灼熱カバディ | Shakunetsu Kabaddi | Burning Kabaddi (Anime) | ワンパンマン | One-Punch Man | 原神 | Genshin Impact (Video Game) | ヒプノシスマイク | Hypnosis Mic (Albums) | Encanto (2021) | 战双帕弥什 | Punishing: Gray Raven | Arcane: League of Legends (Cartoon 2021) | 富豪刑事 Balance:UNLIMITED | Fugou Keiji: Balance:Unlimited (Anime) | Luxiem - Fandom | Nijisanji EN | Twisted-Wonderland (Video Game) | Biohazard | Resident Evil (Gameverse) | Resident Evil (TV 2022) | Leon Kennedy - Fandom,2
小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | RWBY | Parahumans Series - Wildbow | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types | Overlord - Maruyama Kugane & Related Fandoms | DCU | Wonder Woman - All Media Types | Pocket Monsters | Pokemon - All Media Types | Shingeki no Kyojin | Attack on Titan | Fire Emblem: If | Fire Emblem: Fates | Highschool DxD (Anime) | Overwatch (Video Game) | Avatar: The Last Airbender | Hololive (Virtual Streamers) | Star vs. the Forces of Evil | 呪術廻戦 | Jujutsu Kaisen (Manga) | Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,2
鬼滅の刃 | Kimetsu no Yaiba (Manga),2
Overlord (MADHOUSE Anime) | Chainsaw Man (Manga) | Yu-Gi-Oh! Duel Monsters (Anime & Manga) | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | 陰の実力者になりたくて！ | The Eminence in Shadow (Anime) | 月が導く異世界道中 | Tsuki ga Michibiku Isekai Douchuu (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Fate/stay night & Related Fandoms | Bleach (Anime & Manga) | ありふれた職業で世界最強 | Arifureta: From Commonplace to World's Strongest (Anime) | ワンパンマン | One-Punch Man | ようこそ実力至上主義の教室へ | Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e | Classroom of the Elite (Anime) | Undertale (Video Game) | 原神 | Genshin Impact (Video Game) | 蜘蛛ですが なにか? | Kumo desu ga Nani ka | So I'm a Spider So What? - Okina Baba | Elden Ring (Video Game) | Ben 10 Series | Re:ゼロから始める異世界生活 | Re:Zero Starting Life in Another World (Anime) | Hololive (Virtual Streamers) | SPY x FAMILY (Anime) | 無職転生 ～異世界行ったら本気だす～ | Mushoku Tensei: Isekai Ittara Honki Dasu | Jobless Reincarnation (Anime) | 盾の勇者の成り上がり - アネコユサギ | Tate no Yuusha no Nariagari | The Rising of the Shield Hero - Aneko Yusagi | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | Goblin Slayer (Anime) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | Shingeki no Kyojin | Attack on Titan | Akame ga Kill! (Anime & Manga),2
Harry Potter - J. K. Rowling | Naruto,2
RWBY | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | Total Drama (Cartoon) | Steven Universe (Cartoon) | One Piece (Anime & Manga) | Helltaker (Video Game) | Persona Series | Highschool DxD (Anime) | She-Ra and the Princesses of Power (2018) | Pocket Monsters | Pokemon - All Media Types | Monster Girl Encyclopedia | Helluva Boss (Web Series) | Rick and Morty | Dangan Ronpa Series | Overlord (MADHOUSE Anime) | League of Legends | Amphibia (Cartoon) | Dragon Age - All Media Types | Yu-Gi-Oh! Duel Monsters (Anime & Manga) | Adventure Time (Cartoon 2010) | DCU | 碧蓝航线 | Azur Lane (Video Game) | Ben 10 Series | Avatar: The Last Airbender (Cartoon 2005) | Biohazard | Resident Evil (Gameverse) | Five Nights at Freddy's | Sekirei (Anime & Manga) | Limbus Company (Video Game) | Stardew Valley (Video Game) | 逆転裁判 | Gyakuten Saiban | Ace Attorney | Hollow Knight (Video Games) | Fate/stay night & Related Fandoms | Marvel | Mortal Kombat - All Media Types | Danny Phantom | My Little Pony | Shingeki no Kyojin | Attack on Titan | Atomic Heart (Video Game) | Metroid Series | Super Mario & Related Fandoms | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Manga) | 니케: 승리의 여신 | Goddess of Victory: Nikke (Video Game) | Star vs. the Forces of Evil | Subverse (Video Game) | ニセコイ | Nisekoi: False Love | Fallout (Video Games) | Totally Spies | Foster's Home For Imaginary Friends | Borderlands (Video Games) | Blue Eye Samurai (Cartoon) | Splatoon (Video Games) | Library of Ruina (Video Game) | Scooby Doo - All Media Types | Little Witch Academia | Scary Godmother (Movies) | Kindergarten (Video Games 2017 2019) | Dead by Daylight (Video Game) | Poppy Playtime (Video Game) | Mouthwashing (Video Game) | Maken-Ki! | Murder Drones (Web Series) | KPop Demon Hunters (2025) | 中二病でも恋がしたい! | Chuunibyou demo Koi ga Shitai! | Love Chunibyo and Other Delusions! (Anime) | 七つの大罪 - 鈴木央 | Nanatsu no Taizai | The Seven Deadly Sins - Suzuki Nakaba (Anime & Manga) | Hazbin Hotel (Cartoon) | Elfen Lied | Dispatch (Video Game) | Zenless Zone Zero (Video Game) | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | Archer (Cartoon) | Monster Girl Quest | Monster Hunter (Video Games),2
Highschool DxD (Anime) | Harry Potter - J. K. Rowling | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | モブサイコ100 | Mob Psycho 100 | Elder Scrolls V: Skyrim | オーバーロード - 丸山くがね | Overlord - Maruyama Kugane | Mass Effect - All Media Types | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Anime) | Naruto (Anime & Manga) | Biohazard | Resident Evil (Gameverse) | Hunter X Hunter | Parahumans Series - Wildbow | Game of Thrones (TV) | Clair Obscur: Expedition 33 (Video Game),2
Naruto | Fullmetal Alchemist: Brotherhood & Manga,1
Multi-Fandom | Fire Emblem Series | ビースターズ | BEASTARS | Pocket Monsters | Pokemon - All Media Types | Yu-Gi-Oh! - All Media Types | Chainsaw Man (Manga) | Shingeki no Kyojin | Attack on Titan | Original Work | The Legend of Zelda & Related Fandoms | どうぶつの森 | Animal Crossing Series | Street Fighter | Monster Hunter (Video Games) | Skullgirls (Video Game) | The Owl House (Cartoon) | Arcane: League of Legends (Cartoon 2021) | Biohazard | Resident Evil (Gameverse),1
原神 | Genshin Impact (Video Game) | Biohazard | Resident Evil (Gameverse) | Naruto | 我！天命大反派 - 天命反派 | I Am the Fated Villain - Fated Villain | Spider-Man - All Media Types | 呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Compilation of Final Fantasy VII | Dragon Age - All Media Types | K子と病みおじ | K-ko to Yamioji (Manga) | 崩坏：星穹铁道 | Honkai: Star Rail (Video Game) | Magi: The Labyrinth of Magic | Final Fantasy XV | Twisted-Wonderland (Video Game) | 七つの大罪 - 鈴木央 | Nanatsu no Taizai | The Seven Deadly Sins - Suzuki Nakaba (Anime & Manga) | Our Life: Beginnings & Always (Visual Novel) | ワンパンマン | One-Punch Man | Devil May Cry | Stardew Valley (Video Game) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Trigun (Anime & Manga 1995-2008) | Ultraman: Rising (2024) | 백XX | Mr. Baek (Webcomic) | 천마는 평범하게 살 수 없다 | Descended from Divinity (Webcomic),1
Shingeki no Kyojin | Attack on Titan | Haikyuu!! | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Kuroko no Basuke | Kuroko's Basketball | One Piece | 呪術廻戦 | Jujutsu Kaisen (Anime) | Gangsta. (Anime & Manga) | Naruto | Bleach | 東京卍リベンジャーズ | Tokyo Revengers (Manga) | 91 Days (Anime) | ワンパンマン | One-Punch Man | Durarara!! | K (Anime) | Ouran High School Host Club - All Media Types | 怪獣８号 | Kaiju No. 8 (Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | Chainsaw Man (Manga),1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Fullmetal Alchemist: Brotherhood & Manga,1
Batman - All Media Types | Wiedźmin | The Witcher - All Media Types | League of Legends | Defense of the Ancients | Dota | Resident Evil - All Media Types | Fate/stay night - All Media Types | Star Wars - All Media Types | Spider-Man - All Media Types | Fire Emblem Series | Wonder Woman - All Media Types | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Persona 5 | Persona Series | Fire Emblem: Fuukasetsugetsu | Fire Emblem: Three Houses | NieR: Automata (Video Game) | The Legend of Zelda & Related Fandoms | Harry Potter - J. K. Rowling | Fire Emblem: Kakusei | Fire Emblem: Awakening | Marvel Cinematic Universe | Naruto | Harley Quinn (Cartoon 2019) | Harley Quinn (Comics) | Mortal Kombat - All Media Types | Original Work | Elden Ring (Video Game) | Dark Souls (Video Games) | Dragon Quest Series | Cyberpunk 2077 (Video Game) | Avatar: Legend of Korra | Chainsaw Man (Manga) | 原神 | Genshin Impact (Video Game) | Mass Effect - All Media Types | Tomb Raider & Related Fandoms | Neon Genesis Evangelion | Zenless Zone Zero (Video Game),1
Free! | Ouran High School Host Club - All Media Types | Fairy Tail | Black Butler/Kuroshitsuji | Hetalia:Axis Powers - Fandom | Fullmetal Alchemist: Brotherhood | Blue exorcist/Ao no exorcist | Haikyuu!! | Assassination Classroom | Shingeki no Kyojin | Attack on Titan | Yuri!!! on Ice (Anime) | ALL OUT!! - Amase Shiori (Anime & Manga) | Cowboy Bebop,1
Shingeki no Kyojin | Attack on Titan | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,1
ワンパンマン | One-Punch Man | イジらないで | 長瀞さん | Ijiranaide Nagatoro-san | Please don't bully me Nagatoro (Webcomic) | 炎炎ノ消防隊 | Enen no Shouboutai | Fire Force (Manga) | Shingeki no Kyojin | Attack on Titan | 競女!!!!!!!! - 空詠大智 | Keijo!!!!!!!! - Sorayomi Daichi | ハイスクール DxD - 石踏 一榮 | High School DxD - Ishibumi Ichiei | Blue Lock (Manga) | NieR: Automata (Video Game) | 五等分の花嫁 | Gotoubun no Hanayome | The Quintessential Quintuplets (Manga) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Berserk (Anime & Manga) | 魔女大戦 32人の異才の魔女は殺し合う | Majo Taisen: 32-nin no Isai no Majo wa Koroshiau (Manga) | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Manga) | Chainsaw Man (Manga) | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types | その着せ替え人形は恋をする | Sono Bisque Doll wa Koi wo Suru | My Dress-Up Darling (Manga),1
Naruto | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Harry Potter - J. K. Rowling | A Song of Ice and Fire - George R. R. Martin | Game of Thrones (TV) | Toaru Kagaku no Railgun | A Certain Scientific Railgun | Toaru Majutsu no Index | A Certain Magical Index,1
Dangan Ronpa Series | New Dangan Ronpa V3: Everyone's New Semester of Killing | Super Dangan Ronpa 2 | Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School | Dangan Ronpa Another Episode: Ultra Despair Girls | Dangan Ronpa: Trigger Happy Havoc | Persona 5 | Persona Series | Persona 4 | Persona 3 | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | SPY x FAMILY (Manga) | SPY x FAMILY (Anime) | Fate/Grand Order | Fate/stay night & Related Fandoms | Fate/EXTRA | Chainsaw Man (Manga) | Chainsaw Man (Anime) | Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica | Gravity Falls | Naruto (Anime & Manga) | 魔法少女にあこがれて | Mahou Shoujo ni Akogarete | I admire magical girls and... (Manga) | 魔法少女にあこがれて | Mahou Shoujo ni Akogarete | I admire magical girls and... (Anime) | Parahumans Series - Wildbow | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Manga) | お兄ちゃんはおしまい! | Oniichan wa Oshimai! (Manga) | お兄ちゃんはおしまい! | Oniichan wa Oshimai! (Anime) | RWBY | 見える子ちゃん | Mieruko-chan (Manga) | 見える子ちゃん | Mieruko-chan (Anime) | 蜘蛛ですが なにか? | Kumo desu ga Nani ka | So I'm a Spider So What? - Okina Baba | ウマ娘 プリティーダービー | Uma Musume: Pretty Derby (Video Game) | Soul Eater (Anime & Manga) | Harry Potter - J. K. Rowling | Bleach (Anime & Manga) | Arcane: League of Legends (Cartoon 2021) | League of Legends | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | One Piece (Anime & Manga) | Highschool DxD (Anime),1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Fullmetal Alchemist - All Media Types | Fullmetal Alchemist: Brotherhood & Manga,1
Chainsaw Man (Manga) | Carrion (Phobia Game Studio Video Game) | Chainsaw Man (Anime),1
Shingeki no Kyojin | Attack on Titan | 進撃の巨人 | Shingeki no Kyojin | Attack on Titan (Movies),1
Mass Effect Trilogy | Horizon: Zero Dawn (Video Game) | Parahumans Series - Wildbow | Amphibia (Cartoon) | Batman - All Media Types | RWBY | Star Control (Video Games) | Bionicle - All Media Types | Splatoon | Hc Svnt Dracones (Roleplaying Game) | Long Live the Queen (Video Game) | Phineas and Ferb | Star Wars - All Media Types | Sonic the Hedgehog (Archie Comic) | 痛いのは嫌なので防御力に極振りしたいと思います。| BOFURI: I Don't Want to Get Hurt so I'll Max Out My Defense. (Anime) | FTL: Faster Than Light (Video Game) | WALL-E (2008) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | Fairly OddParents | The Amazing Digital Circus (Web Series) | Doki Doki Literature Club! (Visual Novel) | ゼロの使い魔 | Zero no Tsukaima | The Familiar of Zero | Ratchet & Clank | El Goonish Shive | SPY x FAMILY (Manga) | Hollow Knight (Video Games) | Hollow Knight: Silksong (Video Games),1
Harry Potter - J. K. Rowling | Fullmetal Alchemist: Brotherhood & Manga | Fullmetal Alchemist - All Media Types,1
ダンジョンに出会いを求めるのは間違っているだろうか | DanMachi | Is It Wrong to Try to Pick Up Girls in a Dungeon? (Anime) | イジらないで長瀞さん | Ijiranaide Nagatoro-san | Please Don't Bully Me Nagatoro (Anime) | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types | 英雄＊戦姫 | Eiyuu Senki: The World Conquest | 恋姫†無双 | Koihime Musou | ニセコイ | Nisekoi: False Love | Code Geass | Outbreak Company (Anime) | Street Fighter | プリンセスラバー! | Princess Lover! (Video Game) | Gundam Build Fighters | Dangan Ronpa Series | Basquash! (Anime & Manga) | 残念女幹部ブラックジェネラルさん | Zannen Onna-Kanbu Black General-san (Manga) | Fullmetal Alchemist: Brotherhood & Manga | Princess Connect! Re:Dive (Video Game) | 史上最強の弟子ケンイチ | History's Strongest Disciple Kenichi | Fate/stay night & Related Fandoms,1
Fullmetal Alchemist: Brotherhood & Manga | Fullmetal Alchemist - All Media Types | Fullmetal Alchemist (Anime 2003) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | better luck next time - Fandom,1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Death Battle (Web Series),1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Slender (Parsec Productions Video Games) | Five Nights at Freddy's | Outlast (Video Games) | Alien: Isolation (Video Game) | Prey (Video Game 2017) | BioShock 1 & 2 (Video Games) | Biohazard | Resident Evil (Gameverse) | Dead Space (Video Games) | Dark Souls (Video Games),1
One Piece | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,1
Harry Potter - J. K. Rowling | Percy Jackson and the Olympians - Rick Riordan | One Piece (Anime & Manga),1
呪術廻戦 | Jujutsu Kaisen (Manga),1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Percy Jackson and the Olympians - Rick Riordan | RWBY | Toaru Majutsu no Index | A Certain Magical Index | Sword Art Online (Anime & Manga) | One Piece | Dragon Ball | Fairy Tail | Naruto | Bleach | 新妹魔王の契約者 | Shinmai Maou No Testament | The Testament of Sister New Devil - All Media Types | 盾の勇者の成り上がり - アネコユサギ | Tate no Yuusha no Nariagari | The Rising of the Shield Hero - Aneko Yusagi | No Game No Life - Kamiya Yuu | Absolute Duo (Anime) | Akame ga Kill! (Anime & Manga) | 異世界はスマートフォンとともに | Isekai wa Smartphone to Tomo ni | In Another World With My Smartphone (Anime) | Spider-Man - All Media Types | Batman - All Media Types | 炎炎ノ消防隊 | Enen no Shouboutai | Fire Force (Anime) | ダンジョンに出会いを求めるのは間違っているだろうか | DanMachi | Is It Wrong to Try to Pick Up Girls in a Dungeon? (Anime) | Pocket Monsters | Pokemon - All Media Types | Ben 10 Series | Highschool DxD (Anime) | 閃乱カグラ | Senran Kagura | Tengen Toppa Gurren Lagann | Maken-Ki! | 魔装学園H×H | Masou Gakuen HxH (Anime) | Final Fantasy VII Remake (Video Game 2020),1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),1
Bleach | Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,1
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Nanami Kento stans,1
Naruto | To Love-Ru | Gakuen Mokushiroku | Highschool of the Dead | Bleach | One Piece | Harry Potter - J. K. Rowling | Pocket Monsters | Pokemon - All Media Types | Highschool DxD | Avatar: Legend of Korra | Fairy Tail | DCU | Justice League - All Media Types | 新妹魔王の契約者 | Shinmai Maou No Testament | The Testament of Sister New Devil - All Media Types,1
Marvel Cinematic Universe | Iron Man (Movies) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | X-Men (Movieverse) | Shall We Date?: Obey Me! | The Arcana (Visual Novel) | Naruto | Haikyuu!! | Kuroko no Basuke | Kuroko's Basketball | Supernatural (TV 2005) | Bleach (Anime & Manga),1
Hunter X Hunter | SK8 the Infinity (Anime) | Death Note (Anime & Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime) | 呪術廻戦 | Jujutsu Kaisen (Manga) | Shingeki no Kyojin | Attack on Titan | 킬링 스토킹 | Killing Stalking (Webcomic) | 나 혼자만 레벨업 | Solo Leveling (Cartoon),1
Naruto (Anime & Manga) | Harry Potter - J. K. Rowling | Persona 5 | Uncharted (Video Games) | Highschool DxD (Anime) | Marvel's Spider-Man (Insomniac Games Video Games) | Wiedźmin | The Witcher (Video Game) | Sword Art Online (Anime & Manga) | Final Fantasy VII Remake and Rebirth (Video Games 2020-2024) | Bleach (Anime & Manga) | Star Wars: Rebels,1
Naruto | Game of Thrones (TV) | A Song of Ice and Fire & Related Fandoms,1
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Bleach,1
Naruto (Anime & Manga) | Bleach (Anime & Manga) | One Piece (Anime & Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),1
Bleach | Katekyou Hitman Reborn!,1
Bleach | The Walking Dead & Related Fandoms,1
Fullmetal Alchemist: Brotherhood & Manga | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,1
原神 | Genshin Impact (Video Game) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),1
